std_lightness	std_bkg_val	cmp_bkg_vals_bkg_60.0000	lightness_vals_bkg_60.0000	n_cmp_chsn_bkg_60.0000	n_trials_bkg_60.0000	cmp_bkg_vals_bkg_70.0000	lightness_vals_bkg_70.0000	n_cmp_chsn_bkg_70.0000	n_trials_bkg_70.0000	cmp_bkg_vals_bkg_80.0000	lightness_vals_bkg_80.0000	n_cmp_chsn_bkg_80.0000	n_trials_bkg_80.0000
70.0000	70.0000	60.0000	60.0000	9	30	70.0000	60.0000	0	30	80.0000	60.0000	0	30
70.0000	70.0000	60.0000	62.0000	11	30	70.0000	62.0000	0	30	80.0000	62.0000	0	30
70.0000	70.0000	60.0000	64.0000	15	30	70.0000	64.0000	3	30	80.0000	64.0000	0	30
70.0000	70.0000	60.0000	66.0000	22	30	70.0000	66.0000	4	30	80.0000	66.0000	0	30
70.0000	70.0000	60.0000	68.0000	22	30	70.0000	68.0000	9	30	80.0000	68.0000	1	30
70.0000	70.0000	60.0000	70.0000	29	30	70.0000	70.0000	13	30	80.0000	70.0000	3	30
70.0000	70.0000	60.0000	72.0000	28	30	70.0000	72.0000	22	30	80.0000	72.0000	5	30
70.0000	70.0000	60.0000	74.0000	28	30	70.0000	74.0000	25	30	80.0000	74.0000	12	30
70.0000	70.0000	60.0000	76.0000	28	30	70.0000	76.0000	25	30	80.0000	76.0000	16	30
70.0000	70.0000	60.0000	78.0000	29	30	70.0000	78.0000	27	30	80.0000	78.0000	15	30
70.0000	70.0000	60.0000	80.0000	30	30	70.0000	80.0000	29	30	80.0000	80.0000	17	30
